Family,SpeciesName,WoodDensity
Fabaceae,Albizia falcata,0.37
Fabaceae,Albizia falcata,0.28
Fabaceae,Albizia falcataria,0.284
Fabaceae,Albizia ferruginea,0.5
Fabaceae,Albizia ferruginea,0.577
Fabaceae,Albizia ferruginea,0.491
Fabaceae,Albizia ferruginea,0.445
Fabaceae,Albizia ferruginea,0.43
Fabaceae,Albizia ferruginea,0.516
Fabaceae,Albizia ferruginea,0.444
Fabaceae,Albizia ferruginea,0.479
Fabaceae,Albizia ferruginea,0.567
Fabaceae,Albizia glaberrima,0.545
Fabaceae,Albizia glaberrima,0.59
Fabaceae,Albizia grandibracteata,0.456
Fabaceae,Albizia guachapele,0.56
Fabaceae,Albizia guachapele,0.52
Fabaceae,Albizia guachapele,0.5
Fabaceae,Albizia guachapele,0.47
Fabaceae,Albizia gummifera,0.5
Fabaceae,Albizia gummifera,0.646
Fabaceae,Albizia gummifera,0.534
Fabaceae,Albizia gummifera,0.52
Fabaceae,Albizia gummifera,0.516
Fabaceae,Albizia gummifera,0.552
Fabaceae,Albizia gummifera,0.469
Fabaceae,Albizia indet,0.45
Fabaceae,Albizia indet,0.52
Fabaceae,Albizia indet,0.497
Fabaceae,Albizia indet,0.562
Fabaceae,Albizia indet,0.595
Fabaceae,Albizia inundata,0.65
Fabaceae,Albizia inundata,0.516
Fabaceae,Albizia kalkora,0.497
Fabaceae,Albizia kalkora,0.482
Fabaceae,Albizia lebbeck,0.67
Fabaceae,Albizia lebbeck,0.8
Fabaceae,Albizia lebbeck,0.55
Fabaceae,Albizia lebbeck,0.453
Fabaceae,Albizia lebbeck,0.573
Fabaceae,Albizia lebbeck,0.538
Fabaceae,Albizia lebbek,0.71
Fabaceae,Albizia lebbekoides,0.568
Fabaceae,Albizia lucida,0.88
Fabaceae,Albizia lucidior,0.758
Fabaceae,Albizia marginata,0.65
Fabaceae,Albizia niopoides,0.64
Fabaceae,Albizia niopoides,0.63
Fabaceae,Albizia niopoides,0.33
Fabaceae,Albizia niopoides,0.62
Fabaceae,Albizia odoratissima,0.6
Fabaceae,Albizia odoratissima,0.714
Fabaceae,Albizia odoratissima,0.57
Fabaceae,Albizia odoratissima,0.579
Fabaceae,Albizia odoratissima,0.701
Fabaceae,Albizia odoratissima,0.667
Fabaceae,Albizia pedicellata,0.35
Fabaceae,Albizia pedicellata,0.28
Fabaceae,Albizia pistaciifolia,0.45
Fabaceae,Albizia procera,0.47
Fabaceae,Albizia procera,0.633
Fabaceae,Albizia procera,0.587
Fabaceae,Albizia procera,0.55
Fabaceae,Albizia procera,0.64
Fabaceae,Albizia procera,0.565
