gene,log2FC,FDR,AveExpr
GBP5,1.7239823205438691,2.9980802063873765e-07,7.5167398004278345
TNC,1.703852621992601,2.1998723538210713e-06,8.590621401742268
IRAK3,1.6925987456279046,2.6618459627469674e-08,7.164513835479382
WARS,1.6818448261411199,2.134828612921114e-11,9.909816451453608
ADGRL4,1.6743251528276915,1.9736165155450655e-08,7.0459602053711325
SOCS3,1.673348881637951,1.2095554851734726e-09,8.354151889438144
C2,1.671464446602008,3.3114386965099206e-14,8.435932420175257
CCL20,1.668759403399048,6.744398196112896e-08,8.427820417721648
DMBT1,1.6664759856205027,7.193193318283108e-05,11.319278922000002
CLDN1,1.6635258076337234,1.6749157733169124e-08,7.459288548597938
SELP,1.660916120975692,1.0579063767574191e-08,6.997406906242269
PLEK,1.6564770321934486,8.344365361047296e-06,7.5357022781443295
PDZK1IP1,1.630708832739428,2.0663396194421435e-11,9.99109366786598
IL1A,1.63024170212738,3.342755807526292e-06,6.2927576940103105
UBD,1.6262647286009528,1.9065491333873834e-09,7.64485984334536
CXCL2,1.613577991154865,8.152749324463941e-10,7.443485616902062
S100A12,1.6127701635903806,9.864981056128837e-05,6.273430430876289
CXCR1,1.6096708883964048,3.1273623493303844e-06,6.47201357278866
CD55,1.6068914189746302,7.34933799124592e-14,10.722988186793813
ANXA1,1.596527554295454,1.5995318870383863e-06,10.363810115783503
COL6A3,1.5915152057785384,1.6104325362962255e-08,8.785978811695875
ANKRD22,1.5901998888631068,2.598826240222404e-08,8.17793591006701
MUC4,1.5815691658250497,1.046290035041253e-05,9.811368061680412
WNT5A,1.5771110129408,1.1732463753462181e-08,7.214776092752577
SPP1,1.5743198768150135,6.17780012047161e-05,7.249118044309278
PECAM1,1.5732659055454548,1.7047054437287525e-09,9.628607048963918
S100P,1.5674192241997886,1.8041098761992802e-08,9.102482269974226
ICAM1,1.5655925096606786,6.215594385896917e-09,8.673487770948453
CEMIP,1.558365896912795,2.111379430052328e-05,7.35951821757732
IGH,1.548562186917021,6.7000696884835e-11,11.703015655190724
IGHV3-41,1.548562186917021,6.7000696884835e-11,11.703015655190724
HCAR3,1.5270494387404856,0.00017340579457134363,6.911664829922682
PIM2,1.5151920192568706,4.3088254886424215e-07,8.89380399621134
SLCO1B3,1.5094253312436585,0.0005884051549268465,5.145724977190722
C4BPA,1.5088527425132137,0.00023654072110522003,6.529690310793813
PLAU,1.5044716522055968,1.8237426150185446e-07,8.300445442932991
ITGA5,1.5036511157684966,2.1658606155847252e-08,8.653587572974228
MUC5B,1.5026862423816034,0.0018353735883695917,9.598088102082475
MMP10,1.4990396859873147,2.574872653556985e-06,6.219112458247422
RGS5,1.4945364279265325,6.271674027539171e-08,8.421788249572165
SERPINE1,1.4660404249519035,4.244880225580238e-06,7.660553341180414
REG4,1.4626707182431282,3.5342248765151616e-06,10.42447668343299
APOL1,1.456236087986258,3.104945357530974e-10,8.628631317969072
PRDM1,1.4492070946728326,1.935295685598325e-09,8.986678483262887
VWF,1.4385058150523253,1.7156550098659837e-10,7.803433376134019
IL6,1.436944772706128,0.000586150709822443,6.3300693020721654
S100A9,1.4327370730713511,4.6192615403810325e-06,7.819065541706186
CSF3R,1.4312868754376327,3.1003177152950065e-06,7.202218103974228
